index	sample-1	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-60	sample-61	sample-62	sample-63	sample-64	sample-65	sample-66	sample-67	sample-68	sample-69	sample-70	sample-71	sample-72	sample-73	sample-74	sample-75	sample-76	sample-77	sample-78	sample-79	sample-80	sample-81	sample-82	sample-83	sample-84	sample-85	sample-86	sample-87	sample-88	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99	sample-100	sample-101	sample-102	sample-103	sample-104	sample-105	sample-106	sample-107	sample-108	sample-109	sample-110	sample-111	sample-112	sample-113	sample-114	sample-115	sample-116	sample-117	sample-118	sample-119	sample-120
g__Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001143456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000194932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.88E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000148302	0	0	0	0.000773341	0	0	0	0	0	0.00023822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000216388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197736	0	0	0	0	0	0	0	0	0	0.00142932	0	0.000526247	0.000169033	0	0	0	9.93E-05	0	0.000167804	0	0	0.000189946	0	0.002762584	0.000521648	0.000262316	0.000440218
Unclassified_47(f__Bifidobacteriaceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000381152	0	0	0	0	0.000141958	0	0	0	0	0	0	0	0	0	0	0	0
g__Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.88E-05	0	0.000722739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001452222	0.000340696	0.000197736	0	0.000102564	0.000171836	0	0.001557405	0	0.000433487	0	0.000231182	0.002572776	0.000136413	0	0	0	0.000378555	0.000189224	0	0	0.000447477	0	0.00013735	0	0.000218496	0	0	0	0
Unclassified_3(f__Coriobacteriaceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011835	0.000144134	0	0	0	0	0	0	0	0.000331257	0	0.000193623	0.000165053	0	0	0.000136537	0.00011971	0.000460017	0	0	0.000104194	0.000481371	0.000144259	0.00015208	0	0.000288884	0	0	0.00030828	0	0	0	0	0	0	0	0	0	0	0.000133032	0	0	0	0	0	0.00020007	0	0	0.000393236	0.000173807	0	0.000188537	0.000636798	0.000207598	0.000266241	0.000117213	0.000103977	0.000149843	0	0.000249538	0.000145222	0.000283913	9.89E-05	0	0.00025641	0.000257754	0.000210911	0.000584027	8.41E-05	0.000270929	0.000297708	0	9.53E-05	9.09E-05	0	0.000112689	0	0	0	9.93E-05	0	0	0.000103956	0	0	0.000109248	0.000110503	0	0.000262316	0.000176087
Unclassified_48(f__Coriobacteriaceae)	0.000124039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011909	0	0	0	0	0	0	0	0	0	0	0	0.013255222	0.006005573	0.004977213	0.005836265	0.010458945	0.008719403	0.012971487	0.003758031	0.005726768	0.008943951	0.011851044	0.005550536	0.004566461	0.013511581	0.00436404	0.008123976	0.009157838	0.022694165	0.013766994	0.012162162	0.009690023	0.015018773	0.001370456	0.004334271	0.010628621	0.006297666	0.006228407	0.000590855	0.01337937	0.001680257	0.002178423	0.001538735	0.001070727	0.001983705	0.001785562	0.001229592	0.001460209	0.001533507	0.000848392	0.00778236	0.00227258	0.001748374	0.001542844	0.014985591	0.007661501	0.009153204	0.00578999	0.023908385	0.007302961	0.056052837	0.004441155	0.007400075	0.003866272	0.004411459	0.012513312	0.008790951	0.00613465	0.004944808	0.002779606	0.012077656	0.004211444	0.005451138	0.004696228	0.004761905	0.004564103	0.009579861	0.003937008	0.004672215	0.003026863	0.006827418	0.004217525	0.003144072	0.003763876	0.005411059	0.003946849	0.007043047	0.003105315	0.007050584	0.003311415	0.005312547	0.002010535	0.002852668	0.003118665	0.003296401	0.002469292	0.003605178	0.001878557	0.002521301	0.002150989	0.003257616
g__Collinsella	0	0	0	0	0	0	0	0	0.000872736	0	0	0	0	0	0	0	0	0	0.000297725	0	0.001387433	0	0	0	0	0	0	0	0	0	0.00579916	0.002258096	0.004977213	0.004317237	0.014673743	0.0051476	0.008667583	0.003939871	0.004545991	0.009805221	0.005355283	0.005163289	0.002695863	0.004074921	0.003173847	0.007031677	0.008439576	0.028751054	0.01646303	0.009927235	0.007762438	0.005969	0.000649163	0.003954072	0.00258534	0.002022186	0.009926524	0.000181802	0.002219619	0.001235483	0.001037344	0.000355093	0.000237939	0	0.001700536	0.000341553	0	0	0.000169678	0.004922176	0.000389585	0.00027974	0.000593401	0.00049403	0.013639793	0.010253589	0.008243376	0.077283686	0.019212404	0.057964717	0.00267608	0.03125	0.007414146	0.004463359	0.015220092	0.015999531	0.022199116	0.00469507	0.002121279	0.016219993	0.001234389	0.001419567	9.89E-05	0.001245421	0.002512821	0.002104992	0.00056243	0.001849418	0.001093034	0.001463018	0.000694651	0.001248382	0.000333508	0.001091306	0.001227909	0.001859364	0.001242126	0.003075758	0.000473059	0.001688099	0.000683582	0.001789909	0.000207911	0.0008241	0.000759782	0.000710111	0.000828775	0.001478004	0.000682021	0.001276633
g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002367	0	0	0	0.000312207	0.000210106	0.000358659	0.000121227	0.000177117	0	0.000297516	0.000387247	0.000110035	0	0.000158692	0.000682687	0.000239421	0.000306678	0.000114725	0.000363825	0	0.000481371	0	0.00022812	0.000239383	0	0.000194638	0	0	9.88E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000522375	0.00040014	0.000294406	0.001004554	0.000112353	0.002085687	0.000284689	0.000471342	0	0.000103799	0.000443734	0.000117213	0.00072784	0	0	0.0006488	0.000217833	0.000170348	0.000197736	0.00029304	0	0.000687344	0.000210911	0.000389351	0.000210199	0.000379301	0.000148854	0	9.53E-05	0.000363769	0.000131562	0.000507099	0	0.000283916	0	0	0.000160843	0.000111869	0	0	0.00012663	0.000109248	0.000110503	0	0	0
Unclassified_49(f__Nitriliruptoraceae)	0	0	0.000158655	0	0	0	0	0	0	0	0	0	0	0	6.54E-05	0.000433571	0	0	0.000178635	0.000632397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified_4(o__Bacteroidales)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001716078	0.00177765	0.00233869	0.004876879	0.022791133	0.002836432	0.021220635	0.006788702	0.005077341	0.002120048	0.010165121	0.005615077	0.002860915	0.005075779	0.017535507	0.016179683	0.008080445	0.002223415	0.002982849	0.016008316	0.003230008	0.00115529	0.019474899	0.019009961	0.001340547	0.000751098	0.000194638	0	0.011714656	0	0	0.002071374	0.000654333	0.000354233	0.002295723	0.00102466	0.006003083	0.000383377	0.00220582	0.000465611	0.002012856	0.002167984	0.001661524	0.000905723	0.000406292	0.004351523	0.000883219	0.000334851	0.000561766	0.000304163	0.000683255	0.000612745	0.00163748	0.000518995	0.000399361	0.001172127	0.000779828	0.000749213	0.002487016	0.000948246	0.000580889	0.001987394	0.002026793	0.002710623	0.003589744	0.004639574	0.005694601	0.001752081	0.002564426	0.001408832	0.003274784	0.002311818	0.001572252	0.002591852	0.002543525	0.008169935	0.001375211	0.00070979	0.001088036	0.004418847	0.000643371	0.00167804	0.001559333	0.004944602	0.001139673	0.007647348	0.020222112	0.03225526	0.007397303	0.017696778
Unclassified_5(o__Bacteroidales)	0.000124039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.88E-05	0	0	6.17E-05	0	0	0	0	0	0	0	0	0	0.014557074	0.015566446	0.019069321	0.022065878	0.017483609	0.029414855	0.02432901	0.016668687	0.011453536	0.021730489	0.025437596	0.014392668	0.091824384	0.015441807	0.024279933	0.019320044	0.009097983	0.014260523	0.017495554	0.031133056	0.028080229	0.006065274	0.025894403	0.010569538	0.001675683	0.013230876	0.002286993	0	0.031074666	0.000197677	0.011514523	0.049831331	0.040985069	0.010343606	0.011138509	0.006694446	0.02222763	0.002683637	0.007550691	0.033457496	0.004285436	0.006783691	0.071801567	0.008645533	0.002844042	0.002350823	0.003336605	0.002076078	0.007583844	0.000825584	0.003871776	0.004289216	0.025744826	0.003373469	0.00128683	0.032936764	0.001403691	0.002697168	0.022236852	0.003792983	0.003267499	0.011242973	0.009837362	0.01956044	0.026564103	0.042185755	0.010334646	0.006472964	0.007104721	0.013221349	0.007492309	0.009940817	0.008718853	0.010140051	0.006928913	0.020903764	0.014062639	0.00444802	0.006433606	0.008986644	0.003659174	0.022989149	0.005353709	0.012224155	0.003355705	0.027585077	0.030222664	0.018431577	0.025916793	0.048688149
g__Bacteroides	0	0	0.000211539	0	0	0	0	0	0	0	0	0.000320469	0	0	0	0	0.000114155	0	0	0.000632397	0	6.49E-05	0	0	0	0	0	0	0.000130463	0.000107793	0.000828451	0.00052849	0.003058287	0.003677646	0.002497658	0.000945477	0.001494411	0.000727361	0.000708466	0.001855042	0.000198344	0.000387247	0.003246039	0.001072348	0.002380386	0.000819224	0.001795655	0	0.0004589	0	0.001094035	0.000481371	0.001154068	0.00015208	0	0.000924428	0	0	0.000616561	0	0.000311203	0.002071374	0.011659033	0.003188098	0.005951875	0.001092971	0.002595928	0.000153351	0.002120981	0.001197286	0	0.001468634	0.002848327	0.000576369	0.000174125	0.000350123	0.000392542	0	0.000898826	0.000347614	0.000683255	0.000942685	0.000955197	0.000103799	0.00013312	0.00351638	0.00036392	0.001298636	0.001389803	0.000998153	0.000798722	0.001078871	0.001581887	0.002197802	0.001794872	0.001031016	0.000984252	0.00131406	0.000546517	0.000866974	0.001786246	0.002265582	0.004669112	0.003819571	0.001140201	0.019889565	0.001818827	0.01471632	0.001655707	0.0006951	0.000723793	0.004083231	0.000363844	0.001190367	0.000379891	0.000928607	0.00066302	0.00556425	0.001521431	0.000880437
g__Paludibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.61E-05	0	0.000159898	0	0	0	0.000303067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118364	0.000178455	0	0.000170054	0	0	0	0	0.000133032	0	0	0	0	0	0.000250088	0	0.000133941	0	0	0	0	0	0	8.87E-05	0	0	0	0	0	0.000145222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112689	0	0	0	0	0	0	0	0	0	0	0	0	0	8.80E-05
g__Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000532576	0.000432401	0.001439194	0.003917493	0.002185451	0.013972056	0.002151952	0.003273124	0.003424253	0.002848814	0.002033024	0.004582419	0.003080986	0.006577066	0.003491232	0.007987439	0.000837972	0.001303381	0.004072736	0.001663202	0.002448554	0.011360354	0.003101558	0.00486655	0.000622397	0.004333256	0.006812321	0	0.008631852	0	0.000829876	0.002308102	0.005591577	0.002125399	0.003060964	0.019263611	0.002433682	0.000536727	0.003223891	0.001197286	0.000909032	0.004126163	0.002373606	0.001976122	0.000174125	0.011303956	0.000490677	0.000870613	0.004999719	0.000825584	0.000455503	0.000989819	0.000773254	0.000207598	0.000177494	0.000351638	0.00145568	0.000799161	0	0.000149723	0.002686611	0.025268298	0.003855851	0.004908425	0.004205128	0.01224332	0.004147919	0.024431791	0.001471392	0.010295313	0.000942741	0.0045774	0.001572252	0.01473263	0.002982064	0.01583277	0.001641381	0.010741494	0.004541369	0.000943349	0.00056295	0.0125853	0.00207911	0.006501236	0.001456249	0.022505053	0.003425604	0.020952878	0.010807408	0.004226096
Unclassified_6(f__Prevotellaceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000192178	0	7.99E-05	0	0	0	0	0	6.63E-05	0.000198344	0.000322706	0	0	0	0	0.000299276	0	0	5.20E-05	0.000104194	0	0	0.00015208	0	0	0	0	0	0	0.000207469	0.001597917	0.00011897	0	0	0.000136621	0	0	0	0	0	0	0	0.000164677	0	0	9.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000113565	0	0	0	0.000128877	0	0.000146007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013735	0	0	0	0	5.25E-05	4.40E-05
g__Prevotella	0	0	0.000211539	0	0	0	0	0	6.23E-05	0	0	0	0	0.000116816	0.000196053	0	0	0.000206512	0	0.000451712	6.17E-05	0	0	0	0	0	0	0	0	0.000215587	0.043848748	0.004708369	0.019489086	0.027342501	0.028332813	0.041916168	0.015362544	0.022730028	0.043983941	0.03955214	0.014280756	0.024396541	0.014524648	0.027023163	0.028485281	0.015087384	0.035494104	0.005520202	0.003154936	0.028014553	0.008960667	0.006739193	0.002596653	0.001672877	0.001819313	0.003466605	0.000535254	0	0.001603058	9.88E-05	0.126141079	0.037758182	0.039676402	0.04272051	0.068361534	0.047817474	0.006976556	0.001840209	0.042419615	0.007915392	0.014284787	0.022798797	0.023498695	0.023054755	0.002031459	0.003701295	0.006476938	0.006094294	0.004044717	0.003563049	0.001992826	0.004713424	0.001501023	0.000415196	0.002662407	0.004219657	0.013517026	0.00224764	0.006875869	0.002894645	0.003122277	0.003974788	0.002867171	0.004615385	0.012153846	0.004038148	0.002741845	0.003358154	0.010131584	0.00287185	0.001389302	0.001988163	0.013626185	0.001955256	0.001096347	0.005127338	0.008694881	0.000899068	0.002980273	0.001886699	0.000683582	0.00335608	0.002702843	0.003204835	0.001202988	0.006063254	0.003922869	0.005129543	0.006557893	0.009068498
Unclassified_7(f__RF16)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000710101	0.002162006	0.001379228	0.003118004	0.000546363	0.000945477	0.001434634	0.00018184	0.000118078	0.000861269	9.92E-05	0.000258164	0.001650528	0.000285959	0.000555423	0.000477881	0.001376668	0	0	0.000259875	0.000416775	0	0.000144259	0	0	0.000751098	0	0	0.00030828	0	0.000726141	0.01349352	0.003152698	0.007863974	0.000170054	0.000546485	0.005840837	0	0.000339357	0.000798191	0	0.00055948	0.000830762	0.001646768	0	0.000850298	0.000196271	0	0.000112353	0.000130355	0.000398565	0	0.000727769	0.000259498	0.000310614	0.000527457	0.000207954	9.99E-05	0.001462951	0.000249538	0.000363055	0.00062461	0.000790944	0.003150183	0.001333333	0.000386631	0.000421822	9.73E-05	0	0.000162558	0	0.000323655	0.002668064	0.000181884	8.77E-05	0.000563444	0.000354893	0	9.46E-05	0.0001986	0.000160843	0.000111869	0	0.00013735	0.000189946	0.00027312	0.000442013	0.000782473	0.000419705	0.000528262
Unclassified_8(f__Rikenellaceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000123877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052849	0.000419765	0.000399744	0.000234155	0.000945477	0.000717317	0.000545521	0.000177117	0.000728766	0	0.000322706	0.000495158	0.001072348	0.000158692	0.000273075	0.00011971	0.000460017	0.000286812	0	0.000416775	0	0	0	0	0.000115554	0	0	0.000123312	0	0	0.000591821	0.000713818	0.000779313	0	0	0.000162245	0	0.000424196	0.000598643	0	0.000629415	0.000356041	0.000823384	0	0	0	0	0.000224706	0	0.000113876	9.43E-05	0	0	0	0	0.000155966	9.99E-05	0.000365738	0.000149723	0	0.000567827	9.89E-05	0.00043956	0.000307692	0.000902139	7.03E-05	4.87E-05	0	0.000541859	0	0.000323655	0.000809948	0.00040924	0	0.000338066	0.000177447	0.000946387	9.46E-05	0	0	0.00083902	0	9.16E-05	0	0	0	0.000521648	0	0.000176087
Unclassified_9(f__S24-7)	0	0	0.000317309	0	0	0	0	0	0.000124677	7.63E-05	0	0	0	0.000116816	0	0.000123877	0	0	0	0	0.000308318	6.49E-05	0	0	0	0	0	0	0	7.19E-05	0.070714243	0.04232728	0.131866155	0.094659418	0.094364658	0.087299086	0.170004184	0.098436174	0.077931279	0.176162714	0.085634948	0.14037692	0.079170335	0.178581641	0.169086725	0.093323321	0.072664153	0.155102354	0.039981644	0.111746362	0.051159156	0.030133821	0.045802077	0.03429397	0.00301623	0.016755258	0.002286993	0	0.035513903	9.88E-05	0.037863071	0.038468367	0.06192374	0.041657811	0.035796276	0.034428581	0.077147725	0.017635332	0.04292865	0.039244379	0.022466074	0.056787188	0.046997389	0.032194319	0.010679668	0.013854849	0.041315015	0.010581302	0.022863884	0.024854436	0.008540682	0.015035822	0.111758017	0.004048163	0.003771743	0.028424075	0.015700546	0.064582189	0.048204228	0.023456605	0.011399942	0.015217762	0.029363785	0.033260073	0.044307692	0.028739582	0.034940945	0.010512484	0.013999243	0.044378217	0.00674804	0.021453671	0.015436657	0.023644962	0.012191378	0.030820374	0.015792742	0.012444991	0.007616254	0.006206246	0.003297278	0.028414812	0.004366131	0.011812105	0.004685324	0.064128475	0.030498923	0.034602678	0.029589214	0.027205494
g__Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000721293	0.00015208	0	0	0	0	0.000246624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00021978	0	0.000472549	0.000421822	0	0	0	0	0.000184945	0	0.000363769	8.77E-05	0.000788821	4.44E-05	0.001892774	0	0	0	0	0	0	0	0.000218496	0.000607768	0.000173883	0.000262316	0.006647297
